encoder,wandb_best_layer_orig,wandb_best_map_orig,wandb_best_layer_multisf,wandb_best_map_multisf,wandb_best_layer_leitmotif,wandb_best_map_leitmotif,perpair_best_layer_aggregate,perpair_best_map_aggregate,perpair_best_layer_cross_instrument,perpair_best_map_cross_instrument
CLaMP3,5,0.18225078284740448,5.0,0.1313982903957367,0,0.0041037509217858315,0.0,0.016719425097107887,5.0,0.3718803904950619
MERT-v1-95M,3,0.1695728451013565,11.0,0.12117814272642136,12,0.00951350200921297,12.0,0.038208410143852234,8.0,0.33214528411626815
MuQ,8,0.19611871242523193,8.0,0.16633930802345276,12,0.03414786234498024,12.0,0.09120475500822067,7.0,0.49282423630356786
OMARRQ-multifeature-25hz,20,0.1949230134487152,20.0,0.1446433961391449,15,0.014822090044617651,15.0,0.0472884401679039,15.0,0.4664610538631678
CLaMP3-symbolic,11,0.19781047105789185,,,11,0.19456736743450165,,,,
