encoder,layer,aggregate_map,aggregate_n,same_instr_map_mean,same_instr_n_cells,cross_instr_map_mean,cross_instr_n_cells
CLaMP3,0,0.016719425097107887,1714,0.11854169517755508,2,0.31651116348803043,20
CLaMP3,1,0.014911229722201824,1714,0.11659236624836922,2,0.3440087825059891,20
CLaMP3,2,0.01506276149302721,1714,0.12512672692537308,2,0.3509816475212574,20
CLaMP3,3,0.014159408397972584,1714,0.12468444555997849,2,0.3548959940671921,20
CLaMP3,4,0.014392741955816746,1714,0.11857908219099045,2,0.3632968232035637,20
CLaMP3,5,0.014215030707418919,1714,0.12373997271060944,2,0.3718803904950619,20
CLaMP3,6,0.012873569503426552,1714,0.11866316944360733,2,0.3598222181200981,20
CLaMP3,7,0.011814238503575325,1714,0.10480641573667526,2,0.3451017826795578,20
CLaMP3,8,0.010713359341025352,1714,0.11320065334439278,2,0.33088949248194693,20
CLaMP3,9,0.010531282052397728,1714,0.09826397150754929,2,0.3291228786110878,20
CLaMP3,10,0.009911035187542439,1714,0.10770699754357338,2,0.32354878038167956,20
CLaMP3,11,0.01017984002828598,1714,0.0855997521430254,2,0.31271704435348513,20
CLaMP3,12,0.01097569614648819,1714,0.08505880553275347,2,0.3087651513516903,20
MERT-v1-95M,0,0.009946374222636223,1714,0.10914777033030987,2,0.24362379610538482,20
MERT-v1-95M,1,0.008970864117145538,1714,0.08380246441811323,2,0.24385954700410367,20
MERT-v1-95M,2,0.009762034751474857,1714,0.11534004006534815,2,0.2729103688150644,20
MERT-v1-95M,3,0.012858868576586246,1714,0.1120981927961111,2,0.31255943402647973,20
MERT-v1-95M,4,0.014300552196800709,1714,0.1094294898211956,2,0.32213463857769964,20
MERT-v1-95M,5,0.01540213730186224,1714,0.0999632328748703,2,0.318444786965847,20
MERT-v1-95M,6,0.013923987746238708,1714,0.11023195087909698,2,0.32803563103079797,20
MERT-v1-95M,7,0.015557751059532166,1714,0.11260779201984406,2,0.331356630474329,20
MERT-v1-95M,8,0.01612599939107895,1714,0.10613518953323364,2,0.33214528411626815,20
MERT-v1-95M,9,0.0179422739893198,1714,0.10545633733272552,2,0.3217879142612219,20
MERT-v1-95M,10,0.023033015429973602,1714,0.1185106486082077,2,0.31981500089168546,20
MERT-v1-95M,11,0.028110191226005554,1714,0.11390556022524834,2,0.31774612702429295,20
MERT-v1-95M,12,0.038208410143852234,1714,0.10170096158981323,2,0.29907984733581544,20
MuQ,0,0.00764844473451376,1714,0.12187816202640533,2,0.2946371152997017,20
MuQ,1,0.01070963591337204,1714,0.1191500574350357,2,0.3470549710094929,20
MuQ,2,0.011419794522225857,1714,0.12478986009955406,2,0.3753429036587477,20
