encoder,variant,layer_token,layer,test_map,test_mrr,test_map_at_1
OMARRQ-multifeature-25hz,VGMIDITVar,12,12,0.18961703777313232,0.3548370897769928,0.12859898805618286
OMARRQ-multifeature-25hz,VGMIDITVar,15,15,0.1929420381784439,0.3599032759666443,0.13050727546215057
OMARRQ-multifeature-25hz,VGMIDITVar,14,14,0.19245390594005585,0.359345942735672,0.13082844018936157
OMARRQ-multifeature-25hz,VGMIDITVar,17,17,0.18860650062561035,0.3540627956390381,0.128351092338562
OMARRQ-multifeature-25hz,VGMIDITVar,16,16,0.19010382890701297,0.35609519481658936,0.12960335612297058
OMARRQ-multifeature-25hz,VGMIDITVar,19,19,0.19010299444198608,0.3558359742164612,0.12952491641044617
OMARRQ-multifeature-25hz,VGMIDITVar,18,18,0.18819496035575867,0.35321280360221863,0.12694008648395538
OMARRQ-multifeature-25hz,VGMIDITVar,21,21,0.18953797221183777,0.3540431261062622,0.12746642529964447
OMARRQ-multifeature-25hz,VGMIDITVar,20,20,0.1949230134487152,0.3621025085449219,0.13226644694805145
OMARRQ-multifeature-25hz,VGMIDITVar,23,23,0.1678452044725418,0.324850469827652,0.11713045835494997
OMARRQ-multifeature-25hz,VGMIDITVar,22,22,0.1796828657388687,0.3414401710033417,0.12381146848201752
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,meanall,-1,0.1193479150533676,0.26567569375038147,0.10354932397603989
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,0,0,0.10221633315086363,0.23378713428974152,0.08925435692071915
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,1,1,0.11383653432130814,0.2542036473751068,0.09776657819747923
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,2,2,0.11683689802885056,0.25984272360801697,0.10195407271385191
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,3,3,0.11720559000968932,0.2618022859096527,0.10321085900068284
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,4,4,0.11570268124341963,0.2591385841369629,0.10206665098667143
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,5,5,0.11815614998340608,0.26366710662841797,0.10316720604896544
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,6,6,0.11917675286531448,0.2658335268497467,0.10450068861246108
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,7,7,0.12125815451145172,0.2696016728878021,0.10518833994865416
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,8,8,0.12101516872644424,0.26884832978248596,0.10483405739068984
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,9,9,0.12296085059642792,0.27231597900390625,0.1073896512389183
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,10,10,0.12916380167007446,0.2825770974159241,0.11071465909481049
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,11,11,0.13528713583946228,0.29257655143737793,0.1147448867559433
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,12,12,0.13720214366912842,0.29534587264060974,0.1153119131922722
