encoder,best_off_layer,max_off,max_off_diag,min_gap_layer,min_gap,best_map_layer,best_map_centered,best_map_raw,best_recall@10,best_r_precision,min_median_rank,max_eff_rank,min_mean_vec_norm
CLaMP3,4,0.29677730357142856,0.29023925,3,-0.008968124999999993,5,0.044585827738046646,0.04189993813633919,0.06108322739601135,0.08132952451705933,4.0,61.66094207763672,0.8124999403953552
MERT-v1-95M,11,0.27187841071428576,0.27400475,11,0.0021263392857142627,12,0.06826578080654144,0.0637187510728836,0.07568629831075668,0.10885349661111832,4.0,76.48869323730469,0.8901697397232056
MuQ,11,0.47675571428571434,0.28988925,11,-0.18686646428571435,12,0.1856265515089035,0.18120621144771576,0.1712358444929123,0.24717965722084045,3.0,81.17554473876953,0.7588016986846924
