encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,fit_mode,n_fit,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,raw,0.3064396046242825,0.08960833948308607,0.3228070488578753,1.0,nan,nan,nan,0.9112979769706726,79.8112839960653,0.11357418447732925,0.830039918422699,0.3926091000030283
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,centered,0.33538765629326756,0.09411883316263069,0.3443296206526916,1.0,nan,nan,nan,0.15211902558803558,80.32525501143623,0.11357780545949936,0.024166274815797806,0.23294180000084452
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.020729489624500275,2.2596834126087373e-11,917362561.0044504,83.17660522460938,whiten-a1.0,0.4484030120622218,0.13288691169499406,0.45076364760972537,1.0,nan,nan,nan,0.07908843457698822,627.9296337553283,0.011381763964891434,0.007015018258243799,0.2600330999994185
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,transductive-eval:frac0.5:seed0,2977,0.01925498992204666,1.7857776021812377e-11,1078241204.1974127,79.81128692626953,raw,0.3064396046242825,0.08960833948308607,0.3228070488578753,1.0,nan,nan,nan,0.9112979769706726,79.8112839960653,0.11357418447732925,0.830039918422699,0.3901031999994302
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,transductive-eval:frac0.5:seed0,2977,0.01925498992204666,1.7857776021812377e-11,1078241204.1974127,79.81128692626953,centered,0.33385073794048875,0.09479255230712862,0.34229460474276374,1.0,nan,nan,nan,0.025817586109042168,79.81763976576013,0.11657033115625381,0.003459557658061385,0.23491769999964163
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,2977,0,transductive-eval:frac0.5:seed0,2977,0.01925498992204666,1.7857776021812377e-11,1078241204.1974127,79.81128692626953,whiten-a1.0,0.1645560254352865,0.07964236768688988,0.1937832037236593,1.0,nan,nan,nan,0.003946034703403711,1009.1401440615314,0.0014560065465047956,2.3931027044454822e-06,0.26220549999561626
