encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,fit_mode,n_fit,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,raw,0.14842440719390274,0.03904839310226327,0.1755807897320651,2.0,nan,nan,nan,0.9373215436935425,70.84829934285989,0.12065518647432327,0.8782812356948853,0.3109076000037021
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,centered,0.16573659296882384,0.044646182282069784,0.18942742665831047,2.0,nan,nan,nan,0.10668985545635223,71.86335331551847,0.11778181791305542,0.011223114095628262,0.1477448999939952
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,inductive:frac0.5:seed0,3844,0.01641681417822838,4.891534217676963e-07,33561.68729005617,70.6832275390625,whiten-a1.0,0.18671521093639418,0.06742966679274613,0.21371191281820298,1.0,nan,nan,nan,0.056160155683755875,567.0634871264444,0.007550408132374287,0.003182022599503398,0.1582016000029398
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,transductive-eval:frac0.5:seed0,2977,0.014650997705757618,4.2339152628301235e-07,34603.89921919289,70.84829711914062,raw,0.14842440719390274,0.03904839310226327,0.1755807897320651,2.0,nan,nan,nan,0.9373215436935425,70.84829934285989,0.12065518647432327,0.8782812356948853,0.3102915000054054
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,transductive-eval:frac0.5:seed0,2977,0.014650997705757618,4.2339152628301235e-07,34603.89921919289,70.84829711914062,centered,0.16409843248403688,0.044859179841191185,0.18724515273973727,2.0,nan,nan,nan,0.02679116651415825,71.76935161255737,0.11792701482772827,0.0017855396727100015,0.147074699998484
MERT-v1-95M,m-a-p/MERT-v1-95M,SHS100K__1f275677,SHS100K,7,2977,0,transductive-eval:frac0.5:seed0,2977,0.014650997705757618,4.2339152628301235e-07,34603.89921919289,70.84829711914062,whiten-a1.0,0.11462722926878934,0.0471343175035851,0.14119785165005647,2.0,nan,nan,nan,0.005011176690459251,756.4268570684688,0.001906675985082984,-0.00013721740106120706,0.1677546999999322
