encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,fit_mode,n_fit,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,SHS100K__779cf530,SHS100K,15,6821,0,transductive,6821,0.05982595309615135,1.187473210040313e-11,5038088656.679703,46.254661560058594,raw,0.0854279861395725,0.02571358591735389,0.11069720913249857,4.0,nan,nan,nan,0.8018979430198669,46.109749260119784,0.16979047656059265,0.6398983001708984,0.6722651999989466
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,SHS100K__779cf530,SHS100K,15,6821,0,transductive,6821,0.05982595309615135,1.187473210040313e-11,5038088656.679703,46.254661560058594,centered,0.09029712040319202,0.0283001981923577,0.11476556452739699,4.0,nan,nan,nan,0.02873847633600235,48.20017417594358,0.15010282397270203,-0.002263736678287387,0.47192139999970095
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,SHS100K__779cf530,SHS100K,15,6821,0,transductive,6821,0.05982595309615135,1.187473210040313e-11,5038088656.679703,46.254661560058594,whiten-a1.0,0.13634984179895812,0.06436726212074982,0.17168930120066545,1.0,nan,nan,nan,0.00473294360563159,958.1364829563704,0.001875930349342525,6.234273314476013e-05,0.5263024999985646
