encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,11,102960,8,0.027740219607949257,6.290886561677311e-11,440958827.2809835,79.32949829101562,raw,0.16973414152578142,0.16275664287987987,0.23698190062315144,3.0,0.2836820405933124,0.45924076381279944,-0.175558723219487,0.876198410987854,78.50452909993017,0.11527526378631592,0.7680549621582031,545.9667815000003
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,11,102960,8,0.027740219607949257,6.290886561677311e-11,440958827.2809835,79.32949829101562,centered,0.17768533391297422,0.16474792475540048,0.24240802350930185,3.0,0.2898887556414926,0.4767547147621221,-0.18686595912062953,0.019600629806518555,80.48160280108712,0.1081307902932167,0.001759942271746695,572.0751263000002
MuQ,OpenMuQ/MuQ-large-msd-iter,VGMIDITVar-timbre__005f6eeb,VGMIDITVar-timbre,11,102960,8,0.027740219607949257,6.290886561677311e-11,440958827.2809835,79.32949829101562,whiten-a1.0,0.3814796725573102,0.27484299275662644,0.41958001727951444,2.0,0.3642160595679458,0.5707525786835104,-0.2065365191155646,0.003404536284506321,903.4338467573863,0.002325784880667925,-0.0001653888903092593,587.5612775999998
