encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,fit_mode,n_fit,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,6821,0,transductive,6821,0.019053559750318527,2.6874788852659925e-11,708975235.2950191,85.26890563964844,raw,0.1954698613216398,0.06156476750956779,0.22431163297525925,1.0,nan,nan,nan,0.9094008803367615,84.25986054565249,0.11131247878074646,0.827029287815094,0.7466342999978224
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,6821,0,transductive,6821,0.019053559750318527,2.6874788852659925e-11,708975235.2950191,85.26890563964844,centered,0.21546118064844136,0.0655619726585804,0.2380017997148661,1.0,nan,nan,nan,0.02697243168950081,85.52087596653378,0.10634631663560867,-0.0005917585222050548,0.4978391000004194
MuQ,OpenMuQ/MuQ-large-msd-iter,SHS100K__57fb4b69,SHS100K,11,6821,0,transductive,6821,0.019053559750318527,2.6874788852659925e-11,708975235.2950191,85.26890563964844,whiten-a1.0,0.17771399177490993,0.08108862550668265,0.21382381304151782,1.0,nan,nan,nan,0.004728921689093113,958.0085664741498,0.0017837827326729894,-0.00023627829796168953,0.5329368999991857
