encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,fit_mode,n_fit,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
CLaMP3,CLaMP3,SHS100K__482b80fc,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.050953809171915054,2.9130410439393017e-06,17491.62075073624,68.54718780517578,raw,0.25189169017074964,0.0700764956005477,0.2683684322757782,1.0,nan,nan,nan,0.6847906708717346,62.7882307071812,0.12658441066741943,0.47014233469963074,0.33914090000325814
CLaMP3,CLaMP3,SHS100K__482b80fc,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.050953809171915054,2.9130410439393017e-06,17491.62075073624,68.54718780517578,centered,0.2588408578751589,0.07150024521996123,0.27247708073423327,1.0,nan,nan,nan,0.16258326172828674,61.63413275906263,0.130215585231781,0.026912784203886986,0.157461399998283
CLaMP3,CLaMP3,SHS100K__482b80fc,SHS100K,11,2977,0,inductive:frac0.5:seed0,3844,0.050953809171915054,2.9130410439393017e-06,17491.62075073624,68.54718780517578,whiten-a1.0,0.2189153565518085,0.0755466709675522,0.2511841306756327,1.0,nan,nan,nan,0.0612996369600296,539.8478940422539,0.009198106825351715,0.0036527893971651793,0.16426239999418613
CLaMP3,CLaMP3,SHS100K__482b80fc,SHS100K,11,2977,0,transductive-eval:frac0.5:seed0,2977,0.06722413748502731,2.205620148743037e-06,30478.565188723787,62.78826141357422,raw,0.25189169017074964,0.0700764956005477,0.2683684322757782,1.0,nan,nan,nan,0.6847906708717346,62.7882307071812,0.12658441066741943,0.47014233469963074,0.30354800000350224
CLaMP3,CLaMP3,SHS100K__482b80fc,SHS100K,11,2977,0,transductive-eval:frac0.5:seed0,2977,0.06722413748502731,2.205620148743037e-06,30478.565188723787,62.78826141357422,centered,0.25613124164457657,0.07197294728465999,0.2706847758653993,1.0,nan,nan,nan,0.03126408904790878,61.058191808018044,0.13127939403057098,0.0034672038163989782,0.14794640000036452
CLaMP3,CLaMP3,SHS100K__482b80fc,SHS100K,11,2977,0,transductive-eval:frac0.5:seed0,2977,0.06722413748502731,2.205620148743037e-06,30478.565188723787,62.78826141357422,whiten-a1.0,0.13080402685821726,0.057353575892329124,0.16442749764755252,1.0,nan,nan,nan,0.006286243908107281,751.7197392764083,0.002216192428022623,-0.00020255435083527118,0.16119829999661306
