encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,fit_mode,n_fit,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,SHS100K__779cf530,SHS100K,14,6821,0,transductive,6821,0.0641695037484169,4.300788891686835e-11,1492040306.1971414,45.14955520629883,raw,0.08650961626220585,0.025835195259552784,0.11242783721741205,4.0,nan,nan,nan,0.7961258292198181,45.01467184843939,0.17745481431484222,0.6305819153785706,0.7217474999997648
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,SHS100K__779cf530,SHS100K,14,6821,0,transductive,6821,0.0641695037484169,4.300788891686835e-11,1492040306.1971414,45.14955520629883,centered,0.0911940518256196,0.028455579890718685,0.11567764840655552,4.0,nan,nan,nan,0.02917967550456524,47.334401662822984,0.1559695452451706,-0.001810721238143742,0.5014001000017743
OMARRQ-25hz,mtg-upf/omar-rq-multifeature-25hz,SHS100K__779cf530,SHS100K,14,6821,0,transductive,6821,0.0641695037484169,4.300788891686835e-11,1492040306.1971414,45.14955520629883,whiten-a1.0,0.12860469047866682,0.06013748752665424,0.16382734958937709,1.0,nan,nan,nan,0.00477087264880538,957.6436415436509,0.0018850326305255294,-7.493571320082992e-05,0.544955100001971
