encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,12,102960,8,0.019609229639172554,1.3224434880498848e-08,1482802.8430983406,77.90318298339844,raw,0.06371982962941937,0.07567040991803693,0.10887520348415482,4.0,nan,nan,nan,0.9239204525947571,76.48869440349807,0.12982074916362762,0.8536880016326904,71.21290129999397
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,12,102960,8,0.019609229639172554,1.3224434880498848e-08,1482802.8430983406,77.90318298339844,centered,0.06826515505922631,0.07817939967720276,0.11333368773477712,4.0,nan,nan,nan,0.0320257805287838,76.84088025470679,0.1283281296491623,0.0002977294789161533,68.81771569998818
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,12,102960,8,0.019609229639172554,1.3224434880498848e-08,1482802.8430983406,77.90318298339844,abtt-1,0.0618046743807408,0.07374168196890254,0.1054909593799993,4.0,nan,nan,nan,0.03579859435558319,94.622454429206,0.09629490971565247,-0.0012441184371709824,70.21476620000612
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,12,102960,8,0.019609229639172554,1.3224434880498848e-08,1482802.8430983406,77.90318298339844,abtt-3,0.0680488002745646,0.07776227743075777,0.1123783528382717,4.0,nan,nan,nan,0.02020779252052307,112.05991886545084,0.05904101952910423,-0.0011370097054168582,71.07574169999862
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,12,102960,8,0.019609229639172554,1.3224434880498848e-08,1482802.8430983406,77.90318298339844,abtt-10,0.10811435064786915,0.10907576970668131,0.16329549287424858,3.0,nan,nan,nan,0.01475513819605112,155.3753928247129,0.04031065106391907,-0.0006675702170468867,70.15874210000038
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,12,102960,8,0.019609229639172554,1.3224434880498848e-08,1482802.8430983406,77.90318298339844,whiten-a0.5,0.11192393437310269,0.11332998798431781,0.17021427813051926,3.0,nan,nan,nan,0.017936639487743378,383.0095929391789,0.0271986685693264,-9.952318941941485e-05,69.97388029999274
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,12,102960,8,0.019609229639172554,1.3224434880498848e-08,1482802.8430983406,77.90318298339844,whiten-a0.7,0.1265134846955416,0.12510580093713466,0.18934707875622592,3.0,nan,nan,nan,0.011690262705087662,574.3853838356305,0.010106008499860764,-1.843910285970196e-05,75.87499179999577
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,12,102960,8,0.019609229639172554,1.3224434880498848e-08,1482802.8430983406,77.90318298339844,whiten-a1.0,0.1328866211113356,0.13296450208932256,0.20150818390771386,3.0,nan,nan,nan,0.005671196151524782,694.1243870121426,0.0028327773325145245,9.355764632346109e-05,69.7617664999998
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,12,102960,8,0.019609229639172554,1.3224434880498848e-08,1482802.8430983406,77.90318298339844,whiten-a1.0-erel-1e-3,0.12819800933168107,0.12675363916785057,0.19192751576143832,3.0,nan,nan,nan,0.008714528754353523,567.9824990356169,0.00441483361646533,0.00011484129208838567,75.79159570000775
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,12,102960,8,0.019609229639172554,1.3224434880498848e-08,1482802.8430983406,77.90318298339844,whiten-a1.0-erel-1e-2,0.11746518276493974,0.11675430806999536,0.17617832572454847,3.0,nan,nan,nan,0.014452635310590267,357.8159367724443,0.009949421510100365,-0.00010631272743921727,69.94166419999965
