encoder,encoder_model_id,config_hash,task_tag,layer,n_files,n_unique_conditions,fit_mode,n_fit,lambda_max,lambda_min,lambda_ratio,effective_rank_centered,treatment,map,recall@10,r_precision,median_rank,diag_mean,off_mean,gap,mean_vec_norm,effective_rank,top1_sv_share,avg_pair_cos,elapsed_sec
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,11,51848,8,inductive:frac0.5:seed0,51112,0.026545288041234016,1.2877379163001024e-07,206138.90221935298,77.45662689208984,raw,0.08820709759965907,0.09213697297142638,0.1278678191523761,3.0,nan,nan,nan,0.8899060487747192,74.09806394010998,0.1339702159166336,0.7906730771064758,18.50643620000119
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,11,51848,8,inductive:frac0.5:seed0,51112,0.026545288041234016,1.2877379163001024e-07,206138.90221935298,77.45662689208984,centered,0.0954222059388213,0.09570973094876369,0.13442955881111754,2.0,nan,nan,nan,0.03106369636952877,76.12458198839971,0.12297431379556656,-0.0012373784556984901,19.484134900001663
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,11,51848,8,inductive:frac0.5:seed0,51112,0.026545288041234016,1.2877379163001024e-07,206138.90221935298,77.45662689208984,whiten-a1.0,0.2014013390318135,0.1806181797221311,0.2603547680787334,2.0,nan,nan,nan,0.014624306000769138,679.771456990505,0.003085564589127898,0.0007984993862919509,19.211156100001972
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,11,51848,8,transductive-eval:frac0.5:seed0,51848,0.02801131084561348,1.297142659950623e-07,215946.26181425378,75.92762756347656,raw,0.08820709759965907,0.09213697297142638,0.1278678191523761,3.0,nan,nan,nan,0.8899060487747192,74.09806394010998,0.1339702159166336,0.7906730771064758,18.648401999998896
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,11,51848,8,transductive-eval:frac0.5:seed0,51848,0.02801131084561348,1.297142659950623e-07,215946.26181425378,75.92762756347656,centered,0.09550979287478349,0.0957325633304575,0.13451901751069176,2.0,nan,nan,nan,0.02506290376186371,75.98677057044506,0.12376075983047485,-0.0016707463655620813,18.130623599998216
MERT-v1-95M,m-a-p/MERT-v1-95M,VGMIDITVar-timbre__75764d50,VGMIDITVar-timbre,11,51848,8,transductive-eval:frac0.5:seed0,51848,0.02801131084561348,1.297142659950623e-07,215946.26181425378,75.92762756347656,whiten-a1.0,0.1969409305613404,0.17969144384441083,0.25740387850609026,2.0,nan,nan,nan,0.005123980343341827,698.1958035004064,0.002701678080484271,0.0006189772393554449,17.161002500000905
